ID	Species	DistributionName	Parameter1Name	Parameter1Value	Parameter2Name	Parameter2Value	Parameter3Name	Parameter3Value	Loglikelihood	AIC	Loglikelihood_Empirical	AIC_Empirical	MaxNestSize
1	AmericanAvocet1	Poisson	m	3.623					-77.678	155.356	-3.633	13.266	4
2	AmericanAvocet2	Poisson	m	3.838					-116.430	232.860	-3.782	15.564	5
3	BankSwallow1	Poisson	m	4.965					-107.110	214.220	-8.913	29.825	7
4	Cacklinggoose1	Poisson	m	4.238					-47.497	94.994	-16.438	48.877	9
5	Cacklinggoose2	Poisson	m	3.892					-52.308	104.616	-15.691	45.383	8
6	Cacklinggoose3	Poisson	m	3.979					-47.933	95.866	-13.759	39.517	7
7	Cacklinggoose4	Poisson	m	4.753					-60.194	120.388	-12.899	37.798	7
8	Blackbrant1	Poisson	m	2.541					-15.459	30.918	-7.072	24.144	6
9	Blackbrant2	Poisson	m	3.396					-15.500	31.000	-8.985	29.970	7
10	Blackbrant3	Poisson	m	2.489					-13.999	27.998	-7.709	25.419	6
11	Blackbrant4	Poisson	m	4.067					-16.972	33.944	-6.680	23.361	6
12	Emperorgoose1	Poisson	m	4.862					-12.129	24.258	-5.613	23.226	7
13	Emperorgoose2	Poisson	m	4.133					-11.750	23.500	-6.091	24.182	7
14	Emperorgoose3	Poisson	m	4.542					-14.369	28.738	-5.327	20.654	6
15	Whitefrontedgoose1	Poisson	m	4.491					-13.838	27.676	-6.894	25.789	7
16	Whitefrontedgoose2	Poisson	m	5.277					-13.775	27.550	-6.554	27.108	8
17	SpectacledEider1	Poisson	m	3.834					-16.292	32.584	-6.714	23.429	6
18	SpectacledEider2	Poisson	m	4.610					-31.688	63.376	-9.588	33.176	8
19	SpectacledEider3	Poisson	m	4.317					-19.531	39.062	-7.351	26.701	7
20	SpectacledEider4	Poisson	m	4.621					-19.113	38.226	-8.426	28.851	7
21	CaspianTern5	Poisson	m	2.059					-101.170	202.340	-5.329	14.659	3
22	CaspianTern6	Poisson	m	1.877					-16.942	33.884	-3.520	11.039	3
23	CaspianTern7	Poisson	m	2.079					-79.157	158.314	-5.034	14.068	3
24	CaspianTern8	Poisson	m	1.831					-34.827	69.654	-4.285	12.571	3
25	CaspianTern9	Poisson	m	1.226					-111.600	223.200	-4.883	13.766	3
26	CaspianTern10	Poisson	m	1.536					-306.130	612.260	-6.022	16.044	3
27	CaspianTern11	Poisson	m	1.547					-242.040	484.080	-5.900	15.801	3
28	CaspianTern12	Poisson	m	1.507					-88.115	176.230	-6.128	16.256	3
29	CaspianTern13	Poisson	m	1.594					-28.190	56.380	0.000	2.000	2
30	CaspianTern14	Poisson	m	1.544					-31.510	63.020	-4.979	13.959	3
31	CaspianTern15	Poisson	m	2.183					-507.770	1015.540	-6.714	17.428	3
32	CaspianTern16	Poisson	m	2.178					-605.580	1211.160	-6.743	17.485	3
33	GreatCormorant	Poisson	m	4.382					-73.572	147.144	-7.313	24.626	6
34	DoubleCrestedCormorant1	Poisson	m	3.506					-33.914	67.828	-6.380	20.761	5
35	DoubleCrestedCormorant2	Poisson	m	3.019					-62.412	124.824	-7.609	23.218	5
36	DoubleCrestedCormorant4	Poisson	m	3.726					-25.223	50.446	-4.544	17.088	5
37	DoubleCrestedCormorant7	Poisson	m	2.853					-43.770	87.540	-7.559	23.118	5
38	DoubleCrestedCormorant8	Poisson	m	2.734					-28.787	57.574	-7.191	22.382	5
39	DoubleCrestedCormorant9	Poisson	m	2.654					-20.686	41.372	-7.091	22.182	5
40	DoubleCrestedCormorant10	Poisson	m	2.909					-25.940	51.880	-6.835	21.670	5
41	EaredGrebe	Poisson	m	3.238					-20.915	41.830	-3.113	12.226	4
42	HouseWren1	Poisson	m	6.802					-127.790	255.580	-8.619	33.238	9
43	HouseWren2	Poisson	m	5.925					-116.800	233.600	-8.329	30.658	8
44	HouseWren3	Poisson	m	7.086					-150.100	300.200	-9.498	34.996	9
45	HouseWren4	Poisson	m	5.909					-117.770	235.540	-9.676	33.352	8
46	HouseWren5	Poisson	m	6.889					-167.650	335.300	-7.918	31.835	9
47	HouseWren6	Poisson	m	5.441					-94.766	189.532	-8.765	29.530	7
48	HouseWren7	Poisson	m	6.116					-123.590	247.180	-9.763	33.526	8
49	NorthernHarrier1	Poisson	m	4.389					-14.490	28.980	-7.673	29.345	8
50	PrairieFalcon1	Poisson	m	4.238					-22.047	44.094	-5.332	20.664	6
51	PrairieFalcon2	Poisson	m	4.475					-29.750	59.500	-5.829	21.658	6
52	Redwingblackbird1	Poisson	m	3.376					-81.454	162.908	-5.794	19.587	5
53	Redwingblackbird2	Poisson	m	3.184					-65.432	130.864	-5.644	19.288	5
54	SnowyEgret	Poisson	m	3.858					-79.435	158.870	-5.858	19.716	5
55	CattleEgret	Poisson	m	3.387					-48.843	97.686	-7.631	25.262	6
56	LittleBlueHeron	Poisson	m	4.645					-43.985	87.970	-5.381	20.763	6
57	TricoloredHeron1	Poisson	m	4.127					-29.419	58.838	-4.415	18.830	6
58	TricoloredHeron2	Poisson	m	2.798					-54.604	109.208	-5.570	19.141	5
59	WillowPtarmigan	Poisson	m	10.484					-26.494	52.988	-7.236	38.471	13
60	YellowWarbler1	Poisson	m	4.583					-113.240	226.480	-5.344	20.688	6
61	Redwingblackbird3	Poisson	m	4.099					-116.530	233.060	-6.252	22.505	6
62	YellowWarbler2	Poisson	m	4.431					-32.711	65.422	-2.949	13.898	5
63	YellowWarbler3	Poisson	m	4.427					-54.635	109.270	-2.205	12.411	5
64	YellowWarbler4	Poisson	m	4.385					-52.239	104.478	-3.828	15.656	5
65	YellowWarbler5	Poisson	m	4.501					-49.606	99.212	-3.142	14.285	5
66	YellowWarbler6	Poisson	m	4.400					-69.417	138.834	-3.978	15.957	5
67	YellowWarbler7	Poisson	m	4.335					-90.681	181.362	-4.228	16.457	5
68	YellowWarbler8	Poisson	m	4.352					-120.120	240.240	-4.539	17.077	5
69	YellowWarbler9	Poisson	m	4.433					-156.230	312.460	-5.904	19.808	5
70	YellowWarbler10	Poisson	m	4.309					-103.030	206.060	-4.637	17.274	5
71	YellowWarbler11	Poisson	m	4.542					-178.040	356.080	-5.937	19.873	5
72	BarnSwallow2	Poisson	m	4.244					-23.488	46.976	-5.979	21.958	6
73	BarnSwallow3	Poisson	m	4.532					-25.467	50.934	-7.318	24.637	6
74	BarnSwallow4	Poisson	m	4.814					-27.666	55.332	-5.482	20.964	6
75	WoodStork1	Poisson	m	3.078					-57.969	115.938	-4.752	15.504	4
76	WoodStork2	Poisson	m	2.872					-39.810	79.620	-4.155	16.309	5
77	WoodStork3	Poisson	m	2.445					-49.225	98.450	-3.613	11.226	3
78	WoodStork4	Poisson	m	2.510					-35.867	71.734	-1.970	7.940	3
79	WoodStork5	Poisson	m	2.479					-54.138	108.276	-3.464	10.928	3
80	WoodStork6	Poisson	m	2.433					-44.523	89.046	-4.731	15.463	4
81	WoodStork7	Poisson	m	2.684					-71.836	143.672	-3.757	13.514	4
82	WoodStork8	Poisson	m	2.776					-27.381	54.762	-2.243	10.487	4
83	WoodStork9	Poisson	m	2.287					-12.591	25.182	-3.684	13.368	4
84	WoodStork10	Poisson	m	2.917					-43.967	87.934	-1.453	8.905	4
85	WoodStork11	Poisson	m	2.759					-48.831	97.662	-3.425	12.851	4
86	WoodStork12	Poisson	m	2.674					-35.214	70.428	-4.011	14.022	4
87	WoodStork13	Poisson	m	3.157					-60.131	120.262	-4.178	14.356	4
88	WoodStork14	Poisson	m	2.908					-89.400	178.800	-5.016	16.031	4
89	WoodStork15	Poisson	m	2.931					-57.977	115.954	-4.242	14.484	4
90	WoodStork16	Poisson	m	2.621					-19.705	39.410	-2.590	11.181	4
91	WoodStork17	Poisson	m	2.955					-70.120	140.240	-5.585	17.170	4
92	WoodStork18	Poisson	m	2.885					-106.260	212.520	-3.785	13.570	4
93	WoodStork19	Poisson	m	2.800					-40.084	80.168	-4.580	15.159	4
94	WoodStork20	Poisson	m	3.111					-31.783	63.566	-3.254	12.508	4
95	WoodStork21	Poisson	m	2.726					-30.836	61.672	-3.795	13.591	4
96	WoodStork22	Poisson	m	2.928					-42.433	84.866	-4.960	15.921	4
97	WoodStork23	Poisson	m	2.738					-43.501	87.002	-4.510	15.019	4
98	WoodStork24	Poisson	m	2.762					-62.409	124.818	-4.806	15.612	4
99	WoodStork25	Poisson	m	3.088					-26.510	53.020	-4.082	16.163	5
100	WoodStork26	Poisson	m	2.686					-39.285	78.570	-3.552	13.103	4
101	WoodStork27	Poisson	m	2.845					-45.781	91.562	-3.272	12.544	4
102	WoodStork28	Poisson	m	2.531					-58.637	117.274	-3.233	12.467	4
103	WoodStork29	Poisson	m	2.719					-43.182	86.364	-3.856	13.711	4
104	WoodStork30	Poisson	m	2.748					-78.029	156.058	-3.389	12.778	4
105	WoodStork31	Poisson	m	2.695					-75.572	151.144	-3.838	13.676	4
106	NorthernCardinal1	Poisson	m	2.213					-13.570	27.140	-4.899	15.798	4
107	NorthernCardinal2	Poisson	m	2.278					-14.767	29.534	-4.132	14.265	4
108	NorthernCardinal3	Poisson	m	1.896					-8.719	17.437	-4.341	14.683	4
109	NorthernCardinal4	Poisson	m	2.037					-16.741	33.482	-3.523	11.046	3
110	NorthernCardinal5	Poisson	m	2.206					-23.050	46.100	-4.787	15.574	4
111	NorthernCardinal6	Poisson	m	2.603					-28.577	57.154	-3.158	12.316	4
112	FloridaScrubJay1	Poisson	m	3.279					-22.778	45.556	-2.843	11.686	4
113	FloridaScrubJay2	Poisson	m	3.070					-30.304	60.608	-4.367	16.733	5
114	FloridaScrubJay3	Poisson	m	3.228					-25.053	50.106	-4.471	16.943	5
115	FloridaScrubJay4	Poisson	m	3.474					-26.030	52.060	-4.988	17.975	5
116	FloridaScrubJay5	Poisson	m	3.626					-30.932	61.864	-3.591	15.182	5
117	FloridaScrubJay6	Poisson	m	3.172					-31.765	63.530	-4.502	17.003	5
118	FloridaScrubJay7	Poisson	m	3.028					-21.581	43.162	-3.536	13.073	4
119	FloridaScrubJay8	Poisson	m	3.115					-34.586	69.172	-3.802	13.605	4
120	FloridaScrubJay9	Poisson	m	3.205					-29.564	59.128	-4.936	17.872	5
121	SagebrushLizard	Poisson	m	3.790					-22.232	44.464	-8.937	29.874	7
122	NorthernSnappingTurtle	Poisson	m	10.083					-22.759	45.518	-11.648	53.296	16
123	Ouachitamapturtle	Poisson	m	11.323					-21.277	42.554	-11.121	54.243	17
124	Insularpitviper1	Poisson	m	4.490					-16.850	33.700	-9.401	32.803	8
125	Insularpitviper2	Poisson	m	3.504					-10.723	21.446	-8.417	28.834	7
126	Westernterrestrialgartnersnake	Poisson	m	13.219					-29.904	59.808	-15.770	71.541	21
127	Redearedslider1	Poisson	m	13.746					-36.371	72.742	-18.657	89.314	27
128	Redearedslider2	Poisson	m	14.816					-48.948	97.896	-31.050	112.099	26
129	Redearedslider3	Poisson	m	13.551					-42.834	85.668	-31.506	113.011	26
130	Redearedslider4	Poisson	m	13.788					-40.515	81.030	-24.893	99.786	26
131	Redearedslider5	Poisson	m	14.142					-58.698	117.396	-39.579	137.158	30
132	Redearedslider6	Poisson	m	13.571					-58.971	117.942	-41.590	135.179	27
133	Redearedslider7	Poisson	m	14.043					-31.550	63.100	-18.887	77.773	21
134	Redearedslider8	Poisson	m	13.546					-63.353	126.706	-43.313	130.626	23
135	Redearedslider9	Poisson	m	13.232					-54.123	108.246	-40.833	125.667	23
136	Redearedslider10	Poisson	m	12.747					-29.523	59.046	-20.900	81.799	21
137	Redearedslider11	Poisson	m	12.441					-25.674	51.348	-12.534	63.068	20
138	Redearedslider12	Poisson	m	12.396					-27.187	54.374	-17.115	76.229	22
139	Redearedslider13	Poisson	m	13.500					-28.620	57.240	-20.777	83.554	22
140	Redearedslider14	Poisson	m	12.547					-27.469	54.938	-16.004	70.009	20
141	Redearedslider15	Poisson	m	14.213					-36.094	72.188	-20.749	83.497	22
142	Redearedslider16	Poisson	m	12.979					-35.275	70.550	-22.599	89.198	23
143	Redearedslider17	Poisson	m	12.263					-47.225	94.450	-27.180	90.360	19
144	Redearedslider18	Poisson	m	12.836					-43.794	87.588	-24.185	88.369	21
145	Redearedslider19	Poisson	m	13.611					-32.072	64.144	-22.645	87.290	22
146	Redearedslider20	Poisson	m	12.070					-25.134	50.268	-16.197	66.394	18
147	Redearedslider21	Poisson	m	12.329					-29.166	58.332	-18.597	71.195	18
148	Redearedslider22	Poisson	m	13.089					-35.157	70.314	-24.406	92.812	23
149	Walllizard1	Poisson	m	9.404					-28.470	56.940	-17.412	66.824	17
150	IguanidLizard	Poisson	m	2.401					-15.502	31.004	-3.069	12.138	4
151	Sixlinedracerunner1	Poisson	m	5.872					-29.953	59.906	-13.541	51.081	13
152	Sixlinedracerunner2	Poisson	m	3.587					-16.890	33.780	-8.052	26.104	6
153	Sixlinedracerunner3	Poisson	m	2.292					-9.765	19.529	-3.982	13.964	4
154	Sixlinedracerunner4	Poisson	m	2.870					-24.854	49.708	-7.059	22.119	5
155	Sixlinedracerunner5	Poisson	m	3.427					-15.331	30.662	-4.953	19.905	6
156	SnowshoeHare	Poisson	m	2.494					-12.962	25.924	-4.989	15.979	4
157	Mearnscottontailrabbit	Poisson	m	5.684					-15.565	31.130	-7.859	31.719	9
158	MaskedShrew	Poisson	m	7.903					-19.861	39.722	-10.049	42.099	12
159	Deermouse1	Poisson	m	4.955					-58.188	116.376	-7.829	27.659	7
160	AfricanLion	Poisson	m	2.148					-32.613	65.226	-7.941	21.882	4
161	CollaredPeccary	Poisson	m	0.874					-3.890	7.779	-3.159	10.318	3
162	Whitefootedmouse	Poisson	m	4.199					-39.209	78.418	-12.058	36.115	7
163	Wildmuskrat	Poisson	m	7.146					-39.299	78.598	-14.285	50.569	12
164	Molerat	Poisson	m	0.893					-9.616	19.231	-4.980	15.960	4
165	Prairievoles	Poisson	m	3.785					-38.608	77.216	-10.345	32.689	7
166	Housemouse	Poisson	m	5.813					-25.982	51.964	-14.346	50.692	12
167	Woodlandmouse	Poisson	m	4.379					-14.900	29.800	-5.988	23.976	7
168	Westernharvestmouse	Poisson	m	3.707					-15.846	31.692	-5.871	21.742	6
169	Deermouse2	Poisson	m	4.249					-24.989	49.978	-4.069	18.137	6
170	Deermouse3	Poisson	m	4.637					-12.842	25.684	-6.439	24.878	7
171	Deermouse4	Poisson	m	5.554					-17.363	34.726	-9.160	34.321	9
172	BrownBandicoot	Poisson	m	2.903					-14.491	28.982	-8.299	26.598	6
173	YellowMudTurtle1	Poisson	m	6.317					-94.592	189.184	-11.301	38.602	9
174	YellowMudTurtle2	Poisson	m	5.852					-24.854	49.708	-7.239	30.478	9
175	YellowMudTurtle3	Poisson	m	5.947					-116.400	232.800	-14.669	45.337	9
176	YellowMudTurtle4	Poisson	m	5.624					-116.220	232.440	-11.495	36.990	8
177	EasternPaintedTurtle1	Poisson	m	14.654					-18.102	36.204	-11.754	61.507	20
178	EasternPaintedTurtle2	Poisson	m	13.040					-22.827	45.654	-6.933	41.866	15
179	Eastern_Painted_Turtle3	Poisson	m	8.443					-16.454	32.908	-10.133	46.267	14
180	Lesser_Scaup	Poisson	m	9.696					-34.034	68.068	-10.848	47.696	14
181	Mute_Swan	Poisson	m	4.865					-16.292	32.584	-9.393	36.786	10
182	GoldenEagle9	Poisson	m	1.247					-6.032	12.063	-2.915	9.830	3
183	AmericanAvocet1	GeneralizedPoisson	theta	13.056	lambda	-2.488			-16.259	32.518	-3.633	13.266	4
184	AmericanAvocet2	GeneralizedPoisson	theta	17.495	lambda	-3.413			-5.988	11.977	-3.782	15.564	5
185	BankSwallow1	GeneralizedPoisson	theta	13.599	lambda	-1.720			-9.394	18.788	-8.913	29.825	7
186	Cacklinggoose1	GeneralizedPoisson	theta	5.189	lambda	-0.207			-44.362	88.724	-16.438	48.877	9
187	Cacklinggoose2	GeneralizedPoisson	theta	4.399	lambda	-0.107			-54.830	109.660	-15.691	45.383	8
188	Cacklinggoose3	GeneralizedPoisson	theta	5.481	lambda	-0.352			-37.958	75.916	-13.759	39.517	7
189	Cacklinggoose4	GeneralizedPoisson	theta	8.145	lambda	-0.699			-30.893	61.786	-12.899	37.798	7
190	Blackbrant1	GeneralizedPoisson	theta	2.663	lambda	0.035			-17.542	35.084	-7.072	24.144	6
191	Blackbrant2	GeneralizedPoisson	theta	3.808	lambda	-0.084			-16.464	32.928	-8.985	29.970	7
192	Blackbrant3	GeneralizedPoisson	theta	2.654	lambda	0.022			-16.668	33.336	-7.709	25.419	6
193	Blackbrant4	GeneralizedPoisson	theta	7.120	lambda	-0.721			-11.765	23.530	-6.680	23.361	6
194	Emperorgoose1	GeneralizedPoisson	theta	8.494	lambda	-0.734			-7.927	15.853	-5.613	23.226	7
195	Emperorgoose2	GeneralizedPoisson	theta	6.320	lambda	-0.505			-9.093	18.186	-6.091	24.182	7
196	Emperorgoose3	GeneralizedPoisson	theta	10.106	lambda	-1.201			-6.018	12.036	-5.327	20.654	6
197	Whitefrontedgoose1	GeneralizedPoisson	theta	6.116	lambda	-0.347			-12.461	24.922	-6.894	25.789	7
198	Whitefrontedgoose2	GeneralizedPoisson	theta	9.820	lambda	-0.851			-7.556	15.111	-6.554	27.108	8
199	SpectacledEider1	GeneralizedPoisson	theta	6.346	lambda	-0.619			-10.764	21.528	-6.714	23.429	6
200	SpectacledEider2	GeneralizedPoisson	theta	7.634	lambda	-0.639			-20.783	41.566	-9.588	33.176	8
201	SpectacledEider3	GeneralizedPoisson	theta	5.817	lambda	-0.329			-18.147	36.294	-7.351	26.701	7
202	SpectacledEider4	GeneralizedPoisson	theta	6.658	lambda	-0.427			-16.582	33.164	-8.426	28.851	7
203	CaspianTern5	GeneralizedPoisson	theta	5.378	lambda	-1.291			-5.350	10.700	-5.329	14.659	3
204	CaspianTern6	GeneralizedPoisson	theta	5.359	lambda	-1.457			-3.520	7.039	-3.520	11.039	3
205	CaspianTern7	GeneralizedPoisson	theta	5.465	lambda	-1.310			-5.068	10.135	-5.034	14.068	3
206	CaspianTern8	GeneralizedPoisson	theta	5.239	lambda	-1.420			-4.457	8.915	-4.285	12.571	3
207	CaspianTern9	GeneralizedPoisson	theta	3.872	lambda	-1.231			-17.780	35.560	-4.883	13.766	3
208	CaspianTern10	GeneralizedPoisson	theta	4.704	lambda	-1.403			-41.425	82.850	-6.022	16.044	3
209	CaspianTern11	GeneralizedPoisson	theta	4.669	lambda	-1.376			-32.232	64.464	-5.900	15.801	3
210	CaspianTern12	GeneralizedPoisson	theta	3.871	lambda	-1.000			-15.947	31.894	-6.128	16.256	3
211	CaspianTern13	GeneralizedPoisson	theta	-39.774	lambda	16.531			0.000	0.000	0.000	2.000	2
212	CaspianTern14	GeneralizedPoisson	theta	3.958	lambda	-1.016			-7.709	15.417	-4.979	13.959	3
213	CaspianTern15	GeneralizedPoisson	theta	5.967	lambda	-1.426			-8.294	16.589	-6.714	17.428	3
214	CaspianTern16	GeneralizedPoisson	theta	6.293	lambda	-1.600			-6.743	13.485	-6.743	17.485	3
215	GreatCormorant	GeneralizedPoisson	theta	12.084	lambda	-1.723			-7.710	15.420	-7.313	24.626	6
216	DoubleCrestedCormorant1	GeneralizedPoisson	theta	8.811	lambda	-1.438			-7.323	14.646	-6.380	20.761	5
217	DoubleCrestedCormorant2	GeneralizedPoisson	theta	7.126	lambda	-1.245			-8.502	17.005	-7.609	23.218	5
218	DoubleCrestedCormorant4	GeneralizedPoisson	theta	10.596	lambda	-1.775			-5.534	11.069	-4.544	17.088	5
219	DoubleCrestedCormorant7	GeneralizedPoisson	theta	6.329	lambda	-1.091			-9.620	19.240	-7.559	23.118	5
220	DoubleCrestedCormorant8	GeneralizedPoisson	theta	5.666	lambda	-0.938			-9.290	18.580	-7.191	22.382	5
221	DoubleCrestedCormorant9	GeneralizedPoisson	theta	4.572	lambda	-0.602			-14.465	28.930	-7.091	22.182	5
222	DoubleCrestedCormorant10	GeneralizedPoisson	theta	6.114	lambda	-0.987			-8.784	17.568	-6.835	21.670	5
223	EaredGrebe	GeneralizedPoisson	theta	9.966	lambda	-1.990			-3.113	6.226	-3.113	12.226	4
224	HouseWren1	GeneralizedPoisson	theta	21.824	lambda	-2.205			-13.853	27.706	-8.619	33.238	9
225	HouseWren2	GeneralizedPoisson	theta	16.907	lambda	-1.846			-9.766	19.533	-8.329	30.658	8
226	HouseWren3	GeneralizedPoisson	theta	22.809	lambda	-2.217			-17.298	34.596	-9.498	34.996	9
227	HouseWren4	GeneralizedPoisson	theta	16.640	lambda	-1.808			-13.849	27.698	-9.676	33.352	8
228	HouseWren5	GeneralizedPoisson	theta	23.474	lambda	-2.404			-14.407	28.814	-7.918	31.835	9
229	HouseWren6	GeneralizedPoisson	theta	13.474	lambda	-1.466			-10.814	21.628	-8.765	29.530	7
230	HouseWren7	GeneralizedPoisson	theta	15.373	lambda	-1.508			-12.356	24.712	-9.763	33.526	8
231	NorthernHarrier1	GeneralizedPoisson	theta	6.614	lambda	-0.488			-11.356	22.712	-7.673	29.345	8
232	PrairieFalcon1	GeneralizedPoisson	theta	9.916	lambda	-1.306			-9.837	19.674	-5.332	20.664	6
233	PrairieFalcon2	GeneralizedPoisson	theta	11.955	lambda	-1.641			-10.112	20.224	-5.829	21.658	6
234	Redwingblackbird1	GeneralizedPoisson	theta	9.922	lambda	-1.839			-5.994	11.987	-5.794	19.587	5
235	Redwingblackbird2	GeneralizedPoisson	theta	8.679	lambda	-1.613			-6.354	12.707	-5.644	19.288	5
236	SnowyEgret	GeneralizedPoisson	theta	12.010	lambda	-2.047			-8.170	16.341	-5.858	19.716	5
237	CattleEgret	GeneralizedPoisson	theta	7.341	lambda	-1.094			-14.772	29.544	-7.631	25.262	6
238	LittleBlueHeron	GeneralizedPoisson	theta	13.656	lambda	-1.912			-5.713	11.425	-5.381	20.763	6
239	TricoloredHeron1	GeneralizedPoisson	theta	11.205	lambda	-1.672			-6.863	13.726	-4.415	18.830	6
240	TricoloredHeron2	GeneralizedPoisson	theta	6.659	lambda	-1.235			-11.055	22.110	-5.570	19.141	5
241	WillowPtarmigan	GeneralizedPoisson	theta	21.075	lambda	-1.010			-16.291	32.582	-7.236	38.471	13
242	YellowWarbler1	GeneralizedPoisson	theta	16.641	lambda	-2.592			-7.461	14.921	-5.344	20.688	6
243	Redwingblackbird3	GeneralizedPoisson	theta	11.208	lambda	-1.689			-23.018	46.036	-6.252	22.505	6
244	YellowWarbler2	GeneralizedPoisson	theta	18.680	lambda	-3.221			-2.949	5.898	-2.949	13.898	5
245	YellowWarbler3	GeneralizedPoisson	theta	18.803	lambda	-3.212			-3.059	6.117	-2.205	12.411	5
246	YellowWarbler4	GeneralizedPoisson	theta	14.420	lambda	-2.254			-3.829	7.658	-3.828	15.656	5
247	YellowWarbler5	GeneralizedPoisson	theta	19.990	lambda	-3.465			-3.142	6.285	-3.142	14.285	5
248	YellowWarbler6	GeneralizedPoisson	theta	15.877	lambda	-2.594			-3.978	7.957	-3.978	15.957	5
249	YellowWarbler7	GeneralizedPoisson	theta	17.024	lambda	-2.914			-4.228	8.457	-4.228	16.457	5
250	YellowWarbler8	GeneralizedPoisson	theta	16.579	lambda	-2.799			-4.539	9.077	-4.539	17.077	5
251	YellowWarbler9	GeneralizedPoisson	theta	14.911	lambda	-2.319			-6.552	13.104	-5.904	19.808	5
252	YellowWarbler10	GeneralizedPoisson	theta	14.160	lambda	-2.262			-4.637	9.274	-4.637	17.274	5
253	YellowWarbler11	GeneralizedPoisson	theta	16.359	lambda	-2.554			-9.018	18.035	-5.937	19.873	5
254	BarnSwallow2	GeneralizedPoisson	theta	8.742	lambda	-1.030			-12.491	24.982	-5.979	21.958	6
255	BarnSwallow3	GeneralizedPoisson	theta	9.640	lambda	-1.104			-11.345	22.690	-7.318	24.637	6
256	BarnSwallow4	GeneralizedPoisson	theta	11.912	lambda	-1.455			-12.789	25.578	-5.482	20.964	6
257	WoodStork1	GeneralizedPoisson	theta	9.957	lambda	-2.090			-7.328	14.656	-4.752	15.504	4
258	WoodStork2	GeneralizedPoisson	theta	6.985	lambda	-1.294			-15.392	30.784	-4.155	16.309	5
259	WoodStork3	GeneralizedPoisson	theta	7.755	lambda	-1.872			-4.647	9.295	-3.613	11.226	3
260	WoodStork4	GeneralizedPoisson	theta	9.119	lambda	-2.475			-1.970	3.940	-1.970	7.940	3
261	WoodStork5	GeneralizedPoisson	theta	8.093	lambda	-1.960			-3.780	7.560	-3.464	10.928	3
262	WoodStork6	GeneralizedPoisson	theta	7.326	lambda	-1.747			-6.608	13.216	-4.731	15.463	4
263	WoodStork7	GeneralizedPoisson	theta	8.856	lambda	-2.074			-7.460	14.919	-3.757	13.514	4
264	WoodStork8	GeneralizedPoisson	theta	10.126	lambda	-2.421			-4.100	8.200	-2.243	10.487	4
265	WoodStork9	GeneralizedPoisson	theta	5.762	lambda	-1.263			-3.975	7.949	-3.684	13.368	4
266	WoodStork10	GeneralizedPoisson	theta	11.079	lambda	-2.593			-8.550	17.099	-1.453	8.905	4
267	WoodStork11	GeneralizedPoisson	theta	9.138	lambda	-2.102			-6.473	12.947	-3.425	12.851	4
268	WoodStork12	GeneralizedPoisson	theta	8.547	lambda	-1.976			-8.676	17.351	-4.011	14.022	4
269	WoodStork13	GeneralizedPoisson	theta	10.429	lambda	-2.193			-4.200	8.400	-4.178	14.356	4
270	WoodStork14	GeneralizedPoisson	theta	9.530	lambda	-2.098			-12.183	24.366	-5.016	16.031	4
271	WoodStork15	GeneralizedPoisson	theta	8.849	lambda	-1.858			-5.940	11.880	-4.242	14.484	4
272	WoodStork16	GeneralizedPoisson	theta	8.303	lambda	-1.938			-3.452	6.904	-2.590	11.181	4
273	WoodStork17	GeneralizedPoisson	theta	8.847	lambda	-1.838			-8.435	16.870	-5.585	17.170	4
274	WoodStork18	GeneralizedPoisson	theta	10.174	lambda	-2.329			-14.555	29.110	-3.785	13.570	4
275	WoodStork19	GeneralizedPoisson	theta	8.473	lambda	-1.842			-6.671	13.342	-4.580	15.159	4
276	WoodStork20	GeneralizedPoisson	theta	10.267	lambda	-2.154			-3.960	7.920	-3.254	12.508	4
277	WoodStork21	GeneralizedPoisson	theta	7.553	lambda	-1.589			-5.179	10.357	-3.795	13.591	4
278	WoodStork22	GeneralizedPoisson	theta	8.534	lambda	-1.758			-5.649	11.298	-4.960	15.921	4
279	WoodStork23	GeneralizedPoisson	theta	8.495	lambda	-1.902			-6.907	13.814	-4.510	15.019	4
280	WoodStork24	GeneralizedPoisson	theta	8.776	lambda	-1.977			-8.455	16.909	-4.806	15.612	4
281	WoodStork25	GeneralizedPoisson	theta	7.764	lambda	-1.400			-8.310	16.620	-4.082	16.163	5
282	WoodStork26	GeneralizedPoisson	theta	8.226	lambda	-1.854			-5.599	11.197	-3.552	13.103	4
283	WoodStork27	GeneralizedPoisson	theta	9.620	lambda	-2.185			-6.806	13.612	-3.272	12.544	4
284	WoodStork28	GeneralizedPoisson	theta	8.274	lambda	-2.009			-4.633	9.267	-3.233	12.467	4
285	WoodStork29	GeneralizedPoisson	theta	9.281	lambda	-2.188			-7.185	14.370	-3.856	13.711	4
286	WoodStork30	GeneralizedPoisson	theta	9.819	lambda	-2.345			-8.168	16.335	-3.389	12.778	4
287	WoodStork31	GeneralizedPoisson	theta	9.914	lambda	-2.430			-6.758	13.516	-3.838	13.676	4
288	NorthernCardinal1	GeneralizedPoisson	theta	4.491	lambda	-0.807			-8.782	17.563	-4.899	15.798	4
289	NorthernCardinal2	GeneralizedPoisson	theta	5.530	lambda	-1.179			-6.966	13.932	-4.132	14.265	4
290	NorthernCardinal3	GeneralizedPoisson	theta	4.050	lambda	-0.816			-4.891	9.783	-4.341	14.683	4
